Stock,SecurityName,Sector,Industry,MarketCapCr,MarketCapType
AJOONI,AJOONI BIOTECH LIMITED   ,Consumer Defensive,Packaged Foods,71.14,Micro Cap
AKASH,AKASH INFRA-PROJECTS LTD ,Industrials,Engineering & Construction,47.3,Micro Cap
AKG,AKG EXIM LIMITED         ,Industrials,Industrial Distribution,41.21,Micro Cap
AKI,AKI INDIA LIMITED        ,Consumer Cyclical,Footwear & Accessories,63.88,Micro Cap
AKSHAR,AKSHAR SPINTEX LIMITED   ,Consumer Cyclical,Textile Manufacturing,38.59,Micro Cap
AKSHARCHEM,AKSHARCHEM INDIA LIMITED ,Basic Materials,Specialty Chemicals,182.46,Micro Cap
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED   ,Technology,Communication Equipment,96.81,Micro Cap
AKUMS,AKUMS DRUGS AND PHARMA L ,Healthcare,Drug Manufacturers - Specialty & Generic,6995.38,Small Cap
AKZOINDIA,AKZO NOBEL INDIA LIMITED ,Basic Materials,Specialty Chemicals,14167.59,Small Cap
ALANKIT,ALANKIT LIMITED          ,Technology,Information Technology Services,274.68,Micro Cap
ALBERTDAVD,ALBERT DAVID LIMITED     ,Healthcare,Drug Manufacturers - Specialty & Generic,405.69,Micro Cap
ALEMBICLTD,ALEMBIC LIMITED          ,Real Estate,Real Estate - Development,2504.65,Micro Cap
ALGOQUANT,ALGOQUANT FINTECH LIMITED,Financial Services,Capital Markets,1842.02,Micro Cap
ALICON,ALICON CASTALLOY LIMITED ,Industrials,Metal Fabrication,1236.7,Micro Cap
ALIVUS,ALIVUS LIFE SCIENCES LTD ,Healthcare,Drug Manufacturers - Specialty & Generic,10901.46,Small Cap
ALKALI,ALKALI METALS LTD        ,Basic Materials,Specialty Chemicals,77.32,Micro Cap
ALKEM,ALKEM LABORATORIES LTD.  ,Healthcare,Drug Manufacturers - Specialty & Generic,69712.37,Mid Cap
ALKYLAMINE,ALKYL AMINES CHEM. LTD   ,Basic Materials,Specialty Chemicals,8401.42,Small Cap
ALLCARGO,ALLCARGO LOGISTICS LTD   ,Industrials,Integrated Freight & Logistics,1023.08,Micro Cap
ALLDIGI,ALLDIGI TECH LIMITED     ,Industrials,Specialty Business Services,1230.95,Micro Cap
ALLTIME,ALL TIME PLASTICS LIMITED,Consumer Defensive,Household & Personal Products,1544.02,Micro Cap
ALMONDZ,ALMONDZ GLOBAL SEC LTD   ,Financial Services,Capital Markets,299.37,Micro Cap
ALOKINDS,ALOK INDUSTRIES LIMITED  ,Consumer Cyclical,Textile Manufacturing,7855.01,Small Cap
ALPA,ALPA LABORATORIES LTD    ,Healthcare,Drug Manufacturers - Specialty & Generic,150.31,Micro Cap
ALPHAGEO,ALPHAGEO (INDIA) LIMITED ,Energy,Oil & Gas Equipment & Services,140.2,Micro Cap
AMANTA,AMANTA HEALTHCARE LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,414.15,Micro Cap
AMBER,AMBER ENTERPRISES (I) LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",21502.43,Small Cap
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,Consumer Defensive,Household & Personal Products,43.89,Micro Cap
AMBIKCO,AMBIKA COTTON MILL LTD.  ,Consumer Cyclical,Textile Manufacturing,688.72,Micro Cap
AMBUJACEM,AMBUJA CEMENTS LTD       ,Basic Materials,Building Materials,135839.06,Mid Cap
AMDIND,AMD INDUSTRIES LIMITED   ,Consumer Cyclical,Packaging & Containers,83.26,Micro Cap
